player_name,aggression_score,court_depth_score
Hugo Gaston,45,54
Arthur Rinderknech,63,44
Quentin Halys,44,50
Pierre-Hugues Herbert,75,67
Antoine Hoang,48,36
Enzo Couacaud,57,52
Calvin Hemery,67,64
Benjamin Mahut,55,59
Jonathan Eysseric,73,56
Gregoire Barrere,55,45
Constant Lestienne,69,63
Hugo Grenier,63,49
Arthur Cazaux,45,46
Luca Van Assche,45,55
Harold Mayot,48,52
Giovanni Mpetshi Perricard,63,48
Clement Chidekh,53,56
Marko Topo,64,58
Thanapet Chanta,66,50
Yunseong Chung,48,50
Jad Ballout,43,49
Tao Mu,39,40
Komlavi Loglo,46,44
Sina Moghimi,57,44
Oliver Ojakaar,53,40
Benedict Badza,55,47
Juan Carlos Fuentes Vasquez,65,52
Diego Duran,55,59
Stylianos Christodoulou,58,46
William Kirkman,65,58
Karim Hossam,50,43
Mousa Shanan Zayed,37,35
Kris Van Wyk,67,54
Wayne Odesnik,41,38
Jan Hajek,36,27
David Guez,62,58
Ariel Behar,74,83
Jeevan Nedunchezhiyan,75,86
Marcus Daniell,77,87
Robert Farah,74,87
Fred Simonsson,76,81
Thomas Fancutt,77,85
Artem Sitak,76,80
David Vega Hernandez,81,88
Eric Quigley,60,46
Isaac Becroft,74,62
Iliyan Radulov,71,49
Patrick Ciorcila,62,60
Rudolfs Mednis,59,54
Irakli Metreveli,39,43
Emil Reinberg,55,52
Aldin Setkic,66,61
Amer Naow,52,44
Daniel Cox,42,35
Alexios Halebian,42,52
Joachim Bjerke,47,44
Jacob Bicknell,72,67
Egor Matvievici,55,56
Mikhail Ledovskikh,46,40
Marvin Moeller,39,34
Gabriel Donev,61,57
Boris Arias,54,44
Federico Gaio,40,55
Pedro Cachin,57,62
Thiago Seyboth Wild,64,60
Juan Manuel Cerundolo,56,52
Francisco Comesana,52,50
Camilo Ugo Carabelli,72,60
Valentin Vacherot,37,42
Maxime Janvier,40,39
Elliot Benchetrit,63,52
Mathias Bourgue,60,59
Enzo Couacaud,57,52
Tristan Lamasine,55,58
Antoine Escoffier,52,51
Arthur Reca,52,44
Alexandre Muller,64,60
Corentin Moutet,49,45
Hugo Humbert,73,64
Ugo Humbert,56,48
Arthur Fils,70,57
Giovanni Mpetshi Perricard,63,48
Terence Atmane,41,57
Luca Nardi,58,52
Matteo Arnaldi,41,39
Flavio Cobolli,56,41
Francesco Passaro,72,62
Giulio Zeppieri,45,46
Andrea Pellegrino,64,55
Marco Bortolotti,53,51
Giovanni Fonio,70,67
Stefano Travaglia,75,66
Thomas Fabbiano,60,59
Marco Trungelliti,75,67
Guillermo Duran,62,50
Maximo Gonzalez,47,41
Federico Zeballos,66,62
Fernando Romboli,71,60
Orlando Luz,58,46
Rafael Matos,73,58
Marcelo Demoliner,70,61
Andre Sa,43,41
Bruno Soares,53,44
Marcelo Melo,68,53
Felipe Meligeni Alves,66,49
Thiago Monteiro,57,49
Joao Menezes,41,49
Daniel Dutra Da Silva,67,53
Pedro Sakamoto,72,57
Gustavo Heide,52,48
Mateus Alves,50,55
Joao Lucas Reis Da Silva,67,57
Eduardo Ribeiro,45,44
Wilson Leite,55,54
Oracio Zeballos,47,55
Galo Blanco,62,52
Carlos Berlocq,48,41
Juan Ignacio Chela,51,62
Jose Acasuso,66,56
Mariano Zabaleta,65,55
Agustin Calleri,74,61
David Nalbandian,56,52
Jose Luis Clerc,50,44
Guillermo Vilas,37,35
Gaston Gaudio,38,35
Guillermo Coria,70,51
Juan Martin Del Potro,65,56
Juan Monaco,67,62
Diego Schwartzman,62,55
Guido Pella,46,43
Leonardo Mayer,64,62
Carlos Berlocq,48,41
Pablo Cuevas,69,61
Luis Horna,62,50
Nicolas Lapentti,67,61
Agustin Calleri,74,61
Mariano Puerta,42,48
Fernando Gonzalez,71,61
Nicolas Massu,62,55
Marcelo Rios,67,66
Hans Podlipnik-Castillo,66,53
Jorge Aguilar,66,46
Alejandro Tabilo,63,54
Cristian Garin,36,33
Nicolas Jarry,54,44
Gonzalo Lama,62,51
Tomas Barrios Vera,67,61
Alejandro Amenabar,71,60
Jaime Faria,50,50
Nuno Borges,55,52
Gastao Elias,75,68
Joao Sousa,43,45
Frederico Silva,48,51
Pedro Sousa,47,41
Joao Domingues,67,53
Goncalo Oliveira,38,48
Elias Ymer,67,54
Mikael Ymer,65,53
Gustaf Strom,71,59
Andreas Vinciguerra,63,48
Thomas Enqvist,47,44
Magnus Larsson,62,49
Jonas Bjorkman,42,42
Robin Soderling,73,57
Joachim Johansson,46,40
Thomas Johansson,55,52
Bengt Eklund,55,48
Bertil Uggla,41,42
Fredrik Jonsson,43,47
Sven Salumaa,50,45
Daniel Koellerer,66,55
Julian Knowle,70,57
Stefan Koubek,73,59
Jurgen Melzer,65,56
Dominic Thiem,51,46
Dennis Novak,67,61
Sebastian Ofner,57,46
Filip Misolic,60,46
Joel Schwärzler,56,45
Nico Hipfl,39,38
Lukas Neumayer,45,39
Gerald Melzer,55,55
Oliver Marach,61,61
Alexander Peya,40,40
Lucas Miedler,72,82
Jurij Rodionov,64,53
Dennis Hollerer,66,55
Benjamin Mahut,55,59
Nicolas Mahut,53,49
Edouard Roger-Vasselin,54,42
Pierre-Hugues Herbert,75,67
Adrian Mannarino,67,58
Benoit Paire,62,55
Jeremy Chardy,75,68
Gilles Simon,41,52
Richard Gasquet,47,35
Jo-Wilfried Tsonga,46,43
Gael Monfils,71,66
Michael Llodra,67,53
Arnaud Clement,61,63
Paul-Henri Mathieu,46,40
Nicolas Escude,36,39
Sebastien Grosjean,67,54
Fabrice Santoro,41,43
Cedric Pioline,61,60
Henri Leconte,65,65
Guy Forget,63,58
Yannick Noah,62,55
Romain Arneodo,48,50
Hugo Nys,63,55
Nicolas Coutelot,52,52
Kristof Vliegen,69,56
Olivier Rochus,73,66
Xavier Malisse,73,62
Steve Darcis,60,53
Ruben Bemelmans,59,46
David Goffin,64,57
Kimmer Coppejans,58,43
Zizou Bergs,69,64
Raphael Collignon,66,55
Marc-Andrea Huesler,43,42
Leandro Riedi,71,55
Dominic Stricker,70,58
Stan Wawrinka,66,56
Roger Federer,57,46
Alexander Ritschard,71,65
Marc Rosset,62,50
Jakub Mensik,52,52
Jiri Lehecka,63,55
Tomas Machac,52,51
Vit Kopriva,70,49
Zdenek Kolar,63,49
Dalibor Svrcina,67,57
Jiri Vesely,63,61
Radek Stepanek,61,56
Tomas Berdych,66,61
Ivan Lendl,65,54
Petr Korda,69,60
Jan Kodes,69,57
Miloslav Mecir,60,46
Jiri Novak,55,42
Goran Ivanisevic,45,37
Marin Cilic,66,62
Borna Coric,63,55
Ivan Ljubicic,66,62
Ivo Karlovic,63,48
Goran Prpic,55,50
Mario Ancic,62,57
Boris Becker,62,57
Michael Stich,63,48
Boris Becker,62,57
Ivan Lendl,65,54
Petr Korda,69,60
Goran Ivanisevic,45,37
Miloslav Mecir,60,46
Vasek Pospisil,63,57
Milos Raonic,67,61
Denis Shapovalov,66,58
Felix Auger-Aliassime,52,49
Gabriel Diallo,65,61
Alexis Galarneau,41,42
Liam Draxl,62,53
Steven Diez,66,58
Peter Polansky,70,62
Frank Dancevic,49,50
Miloslav Mecir,60,46
Thanasi Kokkinakis,54,52
Nick Kyrgios,66,56
Alex de Minaur,71,57
Jordan Thompson,66,62
James Duckworth,62,53
Marc Polmans,55,47
Aleksandar Vukic,45,43
Christopher O'Connell,64,55
Jason Kubler,51,41
Alex Bolt,55,58
Matthew Ebden,53,46
John Millman,53,42
Lleyton Hewitt,62,52
Pat Rafter,39,43
Mark Philippoussis,46,47
Todd Woodbridge,73,65
Mark Woodforde,50,39
Byron Black,71,60
Thomas Muster,62,63
Marcelo Rios,67,66
Gaston Gaudio,38,35
Guillermo Coria,70,51
David Nalbandian,56,52
Marcos Baghdatis,66,54
Janko Tipsarevic,36,35
Mikhail Youzhny,37,36
Dmitry Tursunov,73,58
Igor Andreev,67,65
Andrei Medvedev,57,52
Mikhail Kukushkin,56,44
Egor Gerasimov,62,52
Dmitry Popko,50,62
Kamil Majchrzak,64,53
Norbert Gombos,75,64
Lukas Lacko,49,51
Aljaz Bedene,73,66
Ricardas Berankis,61,62
Taro Daniel,72,69
Tatsuma Ito,38,46
Yoshihito Nishioka,50,55
Soonwoo Kwon,48,50
Mackenzie McDonald,62,55
Reilly Opelka,66,51
Marcos Giron,51,58
Radu Albot,40,43
Nicolas Alvarez Varona,37,45
Carlos Taberner,65,54
Roberto Carballes Baena,70,52
Bernabe Zapata Miralles,51,56
Pedro Martinez,60,61
Jaume Munar,36,32
Albert Ramos-Vinolas,41,44
Dusan Ristic,48,48
Steve Darcis,60,53
Jozef Kovalik,65,51
Dusan Lajovic,53,46
Laslo Djere,68,50
Thiago Monteiro,57,49
Salvatore Caruso,64,56
Juan Pablo Varillas,75,69
Facundo Bagnis,70,60
Federico Coria,57,61
Federico Delbonis,55,50
Pablo Andujar,73,72
Guido Andreozzi,49,61
Marco Cecchinato,74,65
Stefano Napolitano,62,54
Andrea Vavassori,50,39
Oscar Otte,74,67
Peter Gojowczyk,61,56
Henri Laaksonen,55,53
Cedrik-Marcel Stebe,38,35
Filip Krajinovic,51,42
Nino Serdarusic,64,56
Akira Santillan,49,57
Kris Van Wyk,67,54
Oliver Ojakaar,53,40
Sina Moghimi,57,44
Komlavi Loglo,46,44
Tao Mu,39,40
Jacob Bicknell,72,67
Joachim Bjerke,47,44
Gabriel Donev,61,57
Benedict Badza,55,47
Diego Duran,55,59
Stylianos Christodoulou,58,46
William Kirkman,65,58
Mousa Shanan Zayed,37,35
Karim Hossam,50,43
Jad Ballout,43,49
Thanapet Chanta,66,50
Clement Chidekh,53,56
Marko Topo,64,58
Andres Andrade,40,41
Petr Nesterov,68,48
Remy Bertola,74,75
Martyn Pawelski,65,61
Nicolai Budkov Kjaer,45,46
Lukas Pokorny,59,59
Justin Engel,74,71
Yi Zhou,73,71
Federico Agustin Gomez,63,60
Tristan Schoolkate,35,40
