player_name
"Jarkko Nieminen"
"Bu Yunchaokete"
"Shintaro Mochizuki"
"Giovanni Mpetshi Perricard"
"Mark Lajal"
"Mate Valkusz"
"Billy Harris"
"Alexis Galarneau"
"Ignacio Buse"
"Oleksii Krutykh"
"Vladyslav Orlov"
"Gustavo Heide"
"Edas Butvilas"
"Vilius Gaubas"
"Gonzalo Bueno"
"Arklon Huertas Del Pino"
"Conner Huertas Del Pino"
"Viacheslav Bielinskyi"
"Conor Gannon"
"Freddy Murray"
"Ki Lung Ng"
"Yassine Dlimi"
"Digvijaypratap Singh"
"Mustapha El Natour"
"Rodrigo Pacheco Mendez"
"Alvaro Guillen Meza"
"Muhammad Shoaib"
"Alex Knaff"
"Chris Rodesch"
"Joaquin  Aguilar Cardozo "
"Colin Sinclair"
"Kaipo Marshall"
"Aleksandre Bakshi"
"Zura Tkemaladze"
"Saba Purtseladze"
"Daniel Vallejo"
"Mousa Alkotop"
"Johannes Seeman"
"Fitriadi M Rifqi"
"Raphael Calzi"
"Moez Echargui"
"Menelaos Efstathiou"
"Jesper De Jong"
"Roman Andres Burruchaga"
"Patrick Kypson"
"Nicolas Moreno De Alboran"
"Mariano Navone"
"Joao Fonseca"
"Martin Damm"
"Martin Landaluce"
"David Jorda Sanchis"
"Alejandro Moro Canas"
"Matteo Gigante"
"Henri Squire"
"Paul Jubb"
"Adam Walton"
"Giles Hussey"
"Francisco Comesana"
"Jacob Fearnley"
"Ugo Blanchet"
"Denis Yevseyev"
"Henrique Rocha"
"Eliot Spizzirri"
"Mattia Bellucci"
"Lukas Neumayer"
"Matej Dodig"
"Learner Tien"
"Tristan Schoolkate"
"Federico Agustin Gomez"
"Yi Zhou"
"Justin Engel"
"Nishesh Basavareddy"
"Lukas Pokorny"
"Nicolai Budkov Kjaer"
"Martyn Pawelski"
"Demetris Azoides"
"Remy Bertola"
"Petr Nesterov"
"Adria Soriano Barrera"
"Andres Andrade"
"Ioannis Xilas"
"Lucas Miedler"
"Kiranpal Pannu"
"Yanki Erel"
"N Sriram Balaji"
"Niki Kaliyanda Poonacha"
"Franco Roncadelli"
"Yanaki Milev"
"Iliyan Radulov"
"Alan Fernando Rubio Fierros"
"Hugo Nys"
"Jack Loutit"
"Cezar Cretu"
"Gabi Adrian Boitan"
"Thomas Yaka Kofi Setodji"
"Liova Ayite Ajavon"
"Michael Agwi"
"Skander Mansouri"
"Juan Carlos Prado Angelo"
"Boris Arias"
"Sebastian Dominko"
"Stylianos Christodoulou"
"Diego Duran"
"Juan Carlos Fuentes Vasquez"
"Benedict Badza"
"Oliver Ojakaar"
"Sina Moghimi"
"Komlavi Loglo"
"Kris Van Wyk"
"Jeevan Nedunchezhiyan"
"Mousa Shanan Zayed"
"Karim Hossam"
"Wayne Odesnik"
"Jan Hajek"
"David Guez"
"Ariel Behar"
"William Kirkman"
"Hsien Yin Peng"
"Janez Semrajc"
"Mike Urbanija"
"Andis Juska"
"Janis Podzus"
"Arturs Lazdins"
"Russell Moseley"
"Daniel Glancy"
"Micke Kontinen"
"Herkko Pollanen"
"Luciano Ramazzini"
"Elbert Sie"
"Abdulhameed Alshatti"
"Christophe Tholl"
"Sherif Sabry"
"Joachim Bjerke"
"Diego Galeano"
"Sebastian Quiros"
"Salvador Andres Bolanos"
"Dineshkanthan Thangarajah"
"Ilija Bozoljac"
"Michael Lammer"
"Andres Artunedo Martinavarro"
"Ruben Ramirez Hidalgo"
"Quang Huy Ngo"
"Mahammad Abid"
"Yasir Khan"
"Daniel Kosakowski"
"Robert Farah"
"Sanam Singh"
"Andres Bucaro"
"Gustavo Ramirez"
"Theodoros Angelinos"
"Dinko Halachev"
"Charalampos Kapogiannis"
"Sam Barry"
"Constantinos Ioannides"
"Mike Scheidweiler"
"Juho Paukku"
"Uladzimir Ignatik"
"Cesar Ramirez"
"Johnny Arcilla"
"Jean Andersen"
"Ali Ghareeb"
"Andreas Beck"
"Matteo Viola"
"Patrick Ciorcila"
"Martin Vaisse"
"Laurent Lokoli"
"Miloslav Mecir Jr"
"Daniel Cox"
"Chris Guccione"
"Daniel Smethurst"
"Clay Thompson"
"Eduardo Struvay"
"Nathan Pasha"
"Fabiano De Paula"
"Chase Buchanan"
"Niels Desein"
"Jesus Bandres"
"Bar Tzuf Botzer"
"Florent Serra"
"Kento Takeuchi"
"Philipp Oswald"
"Gregoire Burquier"
"Bowen Ouyang"
"Xin Gao"
"Victor Baluda"
loser_name
"N Vijay Sundar Prashanth"
"Jabor Al Mutawa"
"Andre Ghem"
"Toni Androic"
"Antonio Veic"
"Eric Quigley"
"Andres Molteni"
"Fabrice Martin"
"Duilio Vallebuona"
"Andrei Ciumac"
"Maxim Bulat"
"Anoosha Shahgholi"
"Mohsen Hossein Zade"
"Rudolfs Mednis"
"Jacob Rasolondrazana"
"Gilles Kremer"
"Henrik Sillanpaa"
"Naser Al Obaidly"
"Dawood Sayed Hashim"
"Mehdi Jdi"
"Gabriel Flores Ruiz"
"Rafa Orantes"
"Alberto Emmanuel Alvarado Larin"
"Ibrahim Abou Chahine"
"Karim Alayli"
"Nour Nehme"
"Julian Saborio"
"Ignaci Roca"
"Pablo Nunez"
"Adrien Bossel"
"David Vega Hernandez"
"Mikhail Ledovskikh"
"Maxime Hamou"
"Germain Gigounon"
"Ben Patael"
"Marcus Daniell"
"Jad Ballout"
"Giovani Samaha"
"Dmitrii Baskov"
"Andrei Soltoianu"
"Egor Matvievici"
"Matteo Trevisan"
"Maxime Teixeira"
"Philip Bester"
"Ryan Shane"
"Vladyslav Manafov"
"Takuto Niki"
"Oliver Anderson"
"Benjamin Mitchell"
"Mubarak Shannan Zayid"
"Adam Hornby"
"Manuel Castellanos"
"Tomislav Ternar"
"Daniel Windahl"
"Anis Ghorbel"
"Giorgi Javakhishvili"
"Irakli Metreveli"
"Francisco Yim Kim"
"Abdulrahman Alawadhi"
"Abdulhamid Mubarak"
"Tom Diederich"
"Puriwat Chatpatcharoen"
"Syed Mohd Agil Syed Naguib"
"Hao Sheng Koay"
"Minhtuan Pham"
"Courtney John Lock"
"Michael Linzer"
"Aldin Setkic"
"Roberto Ortega Olmedo"
"Jordi Samper Montana"
"Alexander Ward"
"Fred Simonsson"
"Marvin Moeller"
"Florin Mergea"
"Hong Chung"
"Tadas Babelis"
"Dac Tien Nguyen"
"Agustin Velotti"
"Enrique Lopez Perez"
"Austin Smith"
"Andreas Bjerrehus"
"Tomas Vaise"
"Artem Smirnov"
"Danylo Kalenichenko"
"Marin Draganja"
"Anil Yuksel"
"Artem Sitak"
"Blake Mott"
"Alexander Merino"
"Philip Wilbert Major"
"Spencer Newman"
"Justin Lunn"
"Mattias Siimar"
"Anthony Susanto"
"Lucas Andriamasilalao"
"Tilen Zitnik"
"Nicholas Campbell"
"Hei Yin Andrew Li"
"Nenad Zimonjic"
"Marko Tepavac"
"Omar Awadhy"
"Mykyta Mashtakov"
"Illia Biloborodko"
"Riccardo Bellotti"
"Thai Son Kwiatkowski"
"Alexios Halebian"
"Sekou Bangoura"
"Alessandro Bega"
"Jonathan Eysseric"
"Geoffrey Blancaneaux"
"Vaclav Safranek"
"Jc Aragone"
"Matthew Foster Estwick"
"Julius Tverijonas"
"Evgenii Tiurnev"
"Yusuke Takahashi"
"Arjun Kadhe"
"Liam Caruana"
"Xavier Lawrence"
"Minjong Park"
"Julien Cagnina"
"Adrian Bodmer"
"Roman Hassanov"
"Alejandro Mendoza"
"Peter August Anker"
"Rafael Eduardo Gonzalez Retana"
"Kenneth Raisma"
"Amir Hossein Badi"
"Cheng Yu Yu"
"Michel Saade"
"Muhammad Althaf Dhaifullah"
"Nicolae Frunza"
"Yasitha De Silva"
"Alex Fairbanks"
"Mehluli Don Ayanda Sibanda"
"Muzammil Murtaza"
"Christoffer Konigsfeldt"
"Chun Hun Wong"
"Mark Chigaazira"
"Soufiane El Mesbahi"
"Yassir Kilani"
"Brandon Perez"
"Filippo Baldi"
"Maxime Janvier"
"Emil Reinberg"
"Collin Altamirano"
"Scott Griekspoor"
"Darko Bojanovic"
"Evgeny Karlovskiy"
"Jack Mingjie Lin"
"Pedro Sakamoto"
"Andrea Basso"
"Peter Torebko"
"Cole Gromley"
"Julian Lenz"
"Raymond Sarmiento"
"Rayane Roumane"
"Artem Dubrivnyy"
"Joao Menezes"
"Juan Lugo"
"Sebastian Dominguez"
"Franz Luna Lavidalie"
"Kyle Johnson"
"Pak Long Yeung"
"Wai Yu Kai"
"Gabriel Donev"
"David Szintai"
"Alexander Cozbinov"
"Sasi Kumar Mukund"
"Brian Shi"
"Ulises Blanch"
"Vitaliy Sachko"
"Hasan Ibrahim"
"Jesse Flores"
"Rodrigo Crespo Piedra"
"Quinton Vega"
"Nikoloz Davlianidze"
"Sheil Kotecha"
"Ismael Changawa Ruwa Mzai"
"Kevin Cheruiyot"
"Phuong Van Nguyen"
"Thehan Sanjaya Wijemanne"
"Eric Jr. Olivarez"
"Ching Lam"
"Amer Naow"
"Andrea Collarini"
"Sam Riffice"
"Trent Bryde"
"Eduardo Nava"
"Thomas Fancutt"
"Michael Vrbensky"
"Raul Brancaccio"
"Marko Topo"
"Erik Arutiunian"
"Alexander Zgirovsky"
"Roey Tabet"
"Finn Reynolds"
"Ignacio Carou"
"Thabo Ncube"
"Lluis Miralles"
"Wojciech Marek"
"Dimitri Badra"
"Siim Troost"
"Edgars Manusis"
"Jan Zielinski"
"Caleb Chakravarthi"
"Max Hans Rehberg"
"Carlos Gimeno Valero"
