player_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct
Vincent Millot,61.4,68.5,49.7
Michael Berrer,62.1,71.4,50.1
Stephane Robert,60.5,69.8,49.9
Michal Przysiezny,59.8,72.1,49.5
Blaz Rola,61.2,70.5,50.2
Martin Klizan,60.4,71.8,50.1
Jo-Wilfried Tsonga,61.8,76.5,52.1
Thomaz Bellucci,62.4,71.2,50.5
Gilles Simon,63.5,68.4,51.2
Teymuraz Gabashvili,59.8,70.5,49.7
Tomas Berdych,58.7,77.2,51.8
Kenny De Schepper,62.1,74.5,50.2
Damir Dzumhur,64.5,67.8,50.1
Ivan Dodig,60.8,72.4,50.6
Kevin Anderson,62.7,78.1,52.5
Dominic Thiem,61.5,74.2,51.4
Mikhail Youzhny,62.4,70.5,50.9
Pablo Andujar,64.1,68.2,50.1
Jerzy Janowicz,60.5,75.8,49.7
Adrian Mannarino,62.8,70.1,51.2
Alejandro Falla,61.4,69.5,49.8
Tommy Robredo,63.7,70.2,51.4
Nikolay Davydenko,65.1,69.8,50.8
Fabio Fognini,61.2,70.4,49.8
Leonardo Mayer,60.8,73.5,51.1
Novak Djokovic,64.9,73.6,55.4
Di Wu,61.5,68.4,49.7
Ze Zhang,60.2,69.1,49.5
Jose Hernandez,61.8,68.7,49.2
Victor Estrella,62.4,69.8,50.4
Jose Olivares,60.5,67.4,48.9
Santiago Maresca,61.2,68.1,49.1
Julio Cesar Campozano,62.1,69.5,49.8
Emilio Gomez,60.8,70.2,50.1
Ricardo Rodriguez,61.4,68.9,49.4
Somdev Devvarman,63.5,67.2,50.5
Saketh Myneni,60.1,72.4,49.8
Joao Sousa,61.8,70.5,51.2
Frederico Ferreira Silva,62.1,69.8,50.1
Andrej Martin,63.4,68.5,50.4
Illya Marchenko,60.5,71.2,49.7
Gonzalo Lama,62.8,68.1,49.5
Darian King,61.4,69.4,50.1
Jorge Aguilar,62.5,68.8,49.8
Mirza Basic,60.8,71.5,50.2
Markos Kalovelonis,61.2,69.1,49.5
Dzmitry Zhyrmont,60.5,70.4,49.8
Egor Gerasimov,61.8,73.2,50.4
John Morrissey,61.1,68.7,49.2
Mauricio Echazu,62.5,67.8,49.5
Hugo Dellien,64.1,68.5,50.8
Sergio Galdos,61.4,67.4,49.1
Martin Pedersen,60.8,69.2,49.7
Frederik Nielsen,62.1,71.5,50.2
Mikael Torpegaard,61.5,70.8,50.1
Petros Chrysochos,62.4,68.5,49.5
Dimitar Kutrovsky,60.7,69.1,49.3
Tihomir Grozdanov,61.2,68.4,49.1
Miguel Angel Reyes Varela,62.5,67.9,49.8
Christopher Diaz Figueroa,61.8,68.2,49.4
Miguel Gallardo Valles,60.5,68.8,49.2
Mohammad Ghareeb,61.4,69.5,49.7
Abdullah Maqdas,60.8,68.1,49.1
Aditya Hari Sasongko,61.2,67.5,48.8
Gilles Muller,62.5,77.4,51.8
Hicham Khaddari,60.5,68.2,49.1
Younes Rachidi,61.1,67.8,48.9
Mohamed Safwat,62.4,69.5,50.1
Radu Albot,64.2,68.1,50.4
Maxim Dubarenco,60.8,69.2,49.5
Laurynas Grigelis,61.5,71.4,50.2
Ricardas Berankis,61.8,70.5,50.8
Lukas Mugevicius,60.4,68.7,49.2
Mantas Bugailiskis,61.1,68.1,48.9
Marcelo Arevalo,62.5,70.8,50.4
Rafael Arevalo,61.4,68.5,49.1
Juan Carlos Ramirez,60.8,67.9,48.8
Juan Borba,61.2,67.4,48.7
Romain Arneodo,62.1,69.2,49.5
Nicolaas Scholtz,60.5,70.1,49.8
Rik De Voest,61.8,69.5,50.1
Harshana Godamanna,60.4,68.2,49.1
Ruben Gonzales,61.1,68.8,49.4
Treat Conrad Huey,62.4,69.1,49.7
Carlos Berlocq,64.5,68.2,50.8
Robin Haase,60.8,71.5,50.4
Igor Sijsling,62.1,70.8,49.8
Frank Dancevic,59.8,72.4,50.1
Go Soeda,63.5,68.5,49.7
Mikhail Kukushkin,61.4,70.1,50.4
Andrey Golubev,58.7,72.5,49.8
David Goffin,61.8,70.8,51.4
Filip Krajinovic,63.2,70.4,50.8
James Ward,60.5,71.2,49.7
Paul Henri Mathieu,60.8,71.5,50.1
Albano Olivetti,58.4,78.2,50.4
Pierre Hugues Herbert,60.2,73.5,50.8
Marc Gicquel,61.4,71.1,50.2
Pablo Carreno Busta,64.8,69.5,51.5
Martin Alund,62.1,68.4,49.8
Taro Daniel,63.5,69.2,50.4
Federico Delbonis,62.8,71.5,50.8
Paolo Lorenzi,64.1,68.7,50.1
Daniel Gimeno Traver,63.4,69.1,50.2
Nicolas Almagro,61.5,74.2,51.4
Andrey Kuznetsov,60.8,71.5,50.7
Daniel Evans,62.1,70.8,51.2
Bjorn Phau,61.4,69.5,49.8
Tommy Haas,59.8,74.5,51.1
Filippo Volandri,68.5,64.2,48.7
Guido Pella,62.4,70.5,50.8
Ryan Harrison,60.5,72.4,50.2
Alex Bogomolov Jr,63.1,68.7,50.1
Marcos Baghdatis,60.8,72.5,51.4
Tim Smyczek,61.5,69.8,50.4
Michael Russell,64.2,67.5,49.8
Alex Kuznetsov,60.8,70.2,49.5
Denis Kudla,61.4,70.8,50.1
Phillip King,60.5,68.4,49.2
Wishaya Trongcharoenchaikul,61.2,69.1,49.5
Pruchya Isarow,60.8,68.5,49.1
Nutthanon Kadchapanan,61.4,68.2,48.8
Aqeel Khan,60.5,67.9,49.2
Thien Nguyen Hoang,61.1,67.5,48.7
Linh Giang Trinh,60.8,67.2,48.5
Rhyne Williams,60.2,71.4,49.8
Jan Lennard Struff,61.4,73.5,51.2
Michael Llodra,62.8,74.1,50.8
Albert Montanes,64.5,68.4,50.2
Facundo Bagnis,63.8,69.5,50.5
Pablo Cuevas,62.1,73.8,51.4
Juan Monaco,65.2,67.8,51.2
Malek Jaziri,60.8,71.2,50.4
Potito Starace,63.4,68.5,50.1
Rogerio Dutra Silva,64.1,68.2,50.4
Andreas Haider Maurer,60.5,72.5,49.8
Joao Souza,61.8,71.1,50.2
Alejandro Gonzalez,62.5,69.8,50.1
Evgeny Donskoy,60.8,70.5,50.4
Thiemo De Bakker,61.4,72.8,50.2
Farrukh Dustov,60.5,71.2,49.8
Peter Bertran,61.2,68.5,49.1
Juan Sebastian Cabal,62.4,69.8,49.5
Yong Kyu Lim,61.8,69.1,49.4
Borna Coric,62.5,72.4,51.8
Amir Weintraub,61.1,69.5,49.8
Norbert Gombos,60.8,71.8,50.2
Cristian Garin,62.4,71.5,51.1
Alexandros Jakupovic,60.5,68.4,49.2
James Mcgee,61.4,70.2,49.7
Mazen Osama,60.8,67.8,49.1
Sergis Kyratzis,61.2,67.5,48.8
Lamine Ouahab,62.5,68.9,49.5
Ayoub Chakrouni,60.5,67.2,48.7
Benjamin Balleret,61.4,69.1,49.2
Minh Quan Do,60.8,67.8,48.9
Seanon Williams,61.1,67.4,48.5
Duilio Beretta,62.4,68.5,49.4
Patrick Tierro,60.5,67.9,49.1
Aisam Ul Haq Qureshi,61.8,70.5,49.8
Warit Sornbutnark,60.4,68.1,49.2
Filip Peliwo,61.5,69.4,49.7
Aleksandr Nedovyesov,60.8,70.8,50.1
Roberto Carballes Baena,65.2,68.5,50.8
Jurgen Melzer,60.4,72.1,50.4
Inigo Cervantes Huegun,61.8,70.5,50.1
Adrian Ungur,62.5,69.2,49.8
Christopher Rungkat,61.4,68.8,49.5
Ognian Kolev,60.8,67.5,48.9
Gastao Elias,62.4,69.1,50.2
Rui Machado,63.1,68.4,49.8
Pere Riba,62.8,68.7,50.1
Simone Bolelli,61.5,71.8,50.4
Mate Delic,60.8,70.5,49.8
Jason Kubler,61.4,70.1,50.2
Nikola Milojevic,62.1,69.8,50.4
Jurgen Zopp,60.5,72.4,49.8
Axel Michon,61.8,68.5,49.5
Diego Schwartzman,65.8,66.5,50.1
James Duckworth,60.4,71.8,50.2
Mate Pavic,61.2,70.5,49.8
Jesse Huta Galung,60.8,71.1,50.1
Jimmy Wang,62.4,69.5,49.7
Jan Hernych,61.5,70.8,50.2
Tim Puetz,60.5,71.2,50.1
Luke Saville,61.8,70.4,49.8
Julian Reister,62.1,69.8,50.2
Ante Pavic,60.8,71.5,49.7
Elias Ymer,62.5,70.1,50.8
Christian Lindell,61.4,69.2,49.5
Renzo Olivo,62.8,69.5,50.1
Austin Krajicek,60.5,72.4,50.4
Rajeev Ram,61.8,73.5,50.8
Tatsuma Ito,63.1,68.7,49.8
Philip Davydenko,61.4,69.1,49.5
Louk Sorensen,62.5,68.5,49.7
Yann Marti,61.8,69.2,49.8
Peter Polansky,60.5,70.8,50.1
Alexander Zverev,69.4,75.1,51.8
Robby Ginepri,61.4,71.2,50.4
Henri Laaksonen,62.1,70.5,50.1
Viktor Troicki,62.5,72.8,51.2
Maximo Gonzalez,64.2,68.5,50.4
Matthias Bachinger,60.8,71.1,50.1
Martin Fischer,61.5,69.8,49.8
Andrey Rublev,59.0,75.0,52.2
Hyeon Chung,63.4,70.2,51.1
Martin Cuevas,61.8,69.5,49.8
Rodrigo Senattore,60.5,68.1,49.1
Tigre Hank,61.2,68.5,49.4
Haydn Lewis,60.8,67.8,49.2
Nerman Fatic,61.4,69.1,49.5
Danai Udomchoke,63.5,67.5,49.8
Samir Iftikhar,61.1,68.2,49.4
Philipp Petzschner,60.5,72.1,50.4
Chuhan Wang,61.8,68.5,49.5
Lucas Pouille,61.2,73.4,51.5
winner_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct
John Millman,62.8,70.5,51.2
Nikoloz Basilashvili,58.4,73.1,50.4
Michael Venus,61.5,71.8,50.1
Steve Darcis,62.1,70.4,50.8
Nicolas Jarry,61.8,75.2,51.5
Gerald Melzer,62.5,69.8,50.2
Jared Donaldson,60.5,71.4,50.5
Luca Vanni,61.4,72.1,49.8
Yoshihito Nishioka,64.5,67.5,51.1
Facundo Arguello,63.8,68.2,50.4
Guido Andreozzi,62.1,69.5,50.1
Marsel Ilhan,60.8,71.2,49.8
Jose Rubin Statham,61.4,69.8,49.5
Hans Podlipnik Castillo,62.5,68.7,49.8
Marton Fucsovics,62.1,72.5,51.4
Gabor Borsos,60.8,69.1,49.4
Sunu Wahyu Trijati,61.2,67.8,48.9
David Agung Susanto,60.5,68.1,49.1
Martins Podzus,61.8,69.4,49.5
Dimitar Kuzmanov,62.4,69.8,50.1
Alexandar Lazov,61.5,68.5,49.7
Antso Rakotondramanga,60.8,67.9,49.2
Lofo Ramiaramanana,61.1,67.4,48.8
Daniel Garza,61.4,68.5,49.4
Francis Casey Alcantara,60.8,68.1,49.1
Joao Domingues,62.5,69.4,50.2
Alex Llompart,61.2,68.7,49.5
Christian Garay,60.5,67.5,48.9
Jui Chen Hung,61.8,68.2,49.4
Chieh Fu Wang,61.1,68.8,49.6
Fritz Wolmarans,60.4,71.5,49.8
Cem Ilkel,62.1,69.8,50.4
David Souto,61.5,68.9,49.7
Luis David Martinez,60.8,68.4,49.2
Tomislav Brkic,61.4,69.5,50.1
Benjamin Lock,62.5,71.2,50.4
Jan Mertl,61.8,69.8,49.8
Arthur De Greef,62.1,69.5,50.2
Janko Tipsarevic,61.5,73.4,51.4
Nikola Mektic,60.8,70.5,49.8
Mischa Zverev,62.4,71.8,50.5
Matteo Donati,61.5,69.8,50.1
Gianni Mina,60.8,68.5,49.4
Kyle Edmund,61.2,74.1,51.8
Andrea Arnaboldi,62.5,69.2,50.1
Marco Chiudinelli,61.8,71.5,50.4
Taylor Fritz,64.3,76.0,54.8
Liam Broady,62.1,70.4,50.8
Yuichi Sugita,63.5,68.7,50.5
John Patrick Smith,60.8,71.2,49.8
M Abid Ali Khan Akbar,61.2,67.5,48.9
Aljaz Radinski,60.5,68.1,49.2
Nik Razborsek,61.4,68.8,49.5
Oliver Marach,61.8,70.1,50.1
Gonzalo Escobar,62.5,69.4,50.4
Seong Chan Hong,63.1,68.5,50.2
Shahin Khaledan,60.8,67.9,49.1
Jean Jacques Rakotohasy,61.4,67.4,48.8
Yassine Idmbarek,60.5,68.1,49.2
Federico Zeballos,61.8,68.7,49.5
Alex Diaz,60.2,67.2,48.5
Tucker Vorster,61.5,69.8,49.8
Ruan Roelofse,60.8,70.4,49.7
Sharmal Dissanayake,61.1,67.8,49.1
Hady Habib,61.4,68.5,49.4
Takanyi Garanganga,62.1,69.2,49.8
Juan Carlos Saez,61.8,68.9,49.7
Peter Nagy,60.5,68.4,49.2
Kimmer Coppejans,62.4,69.8,50.4
Daniel Elahi Galan,61.5,71.2,50.8
Alexander Sarkissian,60.8,70.5,49.8
Marcelo Demoliner,61.4,70.1,50.1
Alejandro Gomez Gb42,60.5,68.2,49.1
Adrian Menendez Maceiras,62.1,70.4,50.2
Bastian Trinker,61.8,69.5,49.8
Jaume Munar,63.5,70.1,51.2
Dennis Novak,61.4,71.5,50.5
Ruben Bemelmans,62.1,70.8,50.2
Mardy Fish,61.5,73.2,51.4
Frances Tiafoe,60.2,74.5,51.8
Marat Deviatiarov,61.8,68.7,49.5
Zhe Li,62.4,69.1,49.8
Zhizhen Zhang,61.5,73.8,51.2
Hiroki Moriya,63.1,68.5,50.1
Yan Bai,61.8,68.9,49.7
Aslan Karatsev,60.5,74.1,51.5
Nicolas Xiviller,61.2,67.8,49.1
Thomas Fabbiano,64.2,67.5,50.4
Daniel Munoz de la Nava,62.5,69.8,50.2
Matthew Barton,60.8,71.5,49.8
Jordan Thompson,62.1,72.4,51.2
Quentin Halys,61.5,73.1,50.8
Omar Jasika,62.8,68.7,50.1
Noah Rubin,61.4,70.2,50.4
Marco Trungelliti,63.1,69.5,50.2
Thiago Monteiro,62.5,71.8,50.8
Franko Skugor,61.8,71.1,50.1
Ivan Endara,60.5,68.4,49.5
Edan Leshem,61.2,69.1,49.7
Konstantin Kravchuk,60.8,72.5,50.2
Alexandar Lazarov,61.5,69.8,49.8
Ilya Ivashka,61.1,74.2,51.4
Christian Sigsgaard,62.4,69.5,50.1
Benjamin Hannestad,61.8,68.7,49.5
Viktor Durasovic,61.4,69.2,49.8
Casper Ruud,64.8,72.4,52.5
Lucas Gomez,60.8,68.1,49.2
Hans Hach Verdugo,61.5,69.4,49.7
Wilfredo Gonzalez,60.5,67.8,49.1
Mikelis Libietis,61.2,69.5,49.8
Lucas Catarina,62.1,68.9,49.5
Miguel Angel Este,60.8,67.4,48.8
Jeson Patrombon,61.4,68.1,49.2
Sebastian Arcila,60.5,67.2,48.7
Ignacio Garcia,61.1,67.5,48.9
Lloyd Harris,61.8,75.4,51.5
Mohd Assri Merzuki,60.4,67.1,48.5
Liang Chi Huang,61.5,68.4,49.4
Jorge Brian Panta Herreros,62.1,68.7,49.6
Juan Pablo Varillas,63.5,70.2,50.8
Nam Hoang Ly,62.4,68.5,49.7
Harri Heliovaara,61.8,70.1,50.2
Hubert Hurkacz,62.1,78.2,51.8
Marco Cecchinato,63.4,69.5,50.5
Jozef Kovalik,61.5,70.2,50.1
Bjorn Fratangelo,62.8,70.8,50.4
Tommy Paul,64.5,71.6,52.9
Karen Khachanov,59.7,74.3,51.3
Adam Pavlasek,61.4,69.8,50.2
Mathias Bourgue,62.1,70.5,50.4
Stefan Kozlov,63.5,67.8,50.1
Daniil Medvedev,63.0,72.4,51.7
Ernesto Escobedo,60.8,71.5,50.2
Marcus Willis,60.5,68.2,49.1
